customer_id,call_date,queue,handle_time_min,is_repeat_7d
C0023105,2026-03-24,Billing,10.7,1
C0018812,2025-11-27,Billing,4.9,0
C0011476,2025-10-28,Technical_Support,10.3,0
C0006372,2026-03-25,Technical_Support,14.6,0
C0046789,2026-01-13,Retention,13.3,0
C0005267,2025-10-12,Technical_Support,10.1,0
C0026571,2026-03-25,Billing,4.4,0
C0029573,2026-01-29,Billing,2.3,0
C0029792,2025-12-31,Technical_Support,20.7,1
C0033680,2026-03-31,Sales,6.6,0
C0037435,2026-02-02,Mobile_Support,11.9,1
C0033775,2025-12-16,Technical_Support,21.7,1
C0002783,2025-11-06,Billing,5.6,1
C0039795,2026-02-06,Technical_Support,19.6,1
C0036034,2026-01-05,Retention,16.5,0
C0001080,2025-11-04,Billing,12.3,0
C0044177,2025-11-04,Billing,8.1,1
C0047854,2025-10-08,Sales,15.6,0
C0011081,2026-01-22,Mobile_Support,12.8,1
C0023133,2026-02-07,Retention,22.5,0
C0033630,2026-02-16,Billing,10.7,0
C0037874,2025-11-08,Technical_Support,24.0,1
C0008045,2026-02-20,Sales,6.5,0
C0008901,2026-03-15,Billing,8.3,0
C0029819,2026-02-19,Billing,11.4,1
C0032028,2026-02-27,Technical_Support,19.0,0
C0020081,2026-03-25,Mobile_Support,12.4,0
C0044557,2026-03-13,Billing,9.4,1
C0015618,2025-10-08,Billing,11.6,0
C0048089,2025-11-11,Technical_Support,22.6,1
C0008245,2025-12-27,Technical_Support,23.7,1
C0021142,2025-12-02,Retention,15.3,0
C0011861,2026-02-15,Mobile_Support,6.0,1
C0040288,2026-03-27,Billing,12.6,0
C0019205,2025-12-24,Retention,25.4,0
C0003699,2026-01-24,Billing,3.6,0
C0006872,2025-10-02,Billing,9.5,1
C0045436,2026-03-06,Technical_Support,20.2,0
C0011951,2025-11-10,Sales,8.9,0
C0023469,2025-12-06,Mobile_Support,11.0,0
C0046248,2026-02-09,Billing,8.5,0
C0011005,2025-11-17,General_Inquiry,8.1,0
C0000200,2025-12-30,Retention,17.5,0
C0010867,2025-12-24,Billing,9.0,1
