zip,month,group,channel,prospects,connects
94492,2025-10,test,door_to_door,105,4
94492,2025-10,test,digital_ads,130,3
94492,2025-11,test,door_to_door,138,6
94492,2025-11,test,digital_ads,146,3
94492,2025-12,test,door_to_door,158,7
94492,2025-12,test,digital_ads,146,3
94492,2026-01,test,door_to_door,217,10
94492,2026-01,test,digital_ads,163,4
94492,2026-02,test,door_to_door,127,5
94492,2026-02,test,digital_ads,134,3
94492,2026-03,test,door_to_door,161,7
94492,2026-03,test,digital_ads,147,4
66911,2025-10,test,door_to_door,146,6
66911,2025-10,test,digital_ads,162,3
66911,2025-11,test,door_to_door,178,8
66911,2025-11,test,digital_ads,137,3
66911,2025-12,test,door_to_door,154,6
66911,2025-12,test,digital_ads,50,1
66911,2026-01,test,door_to_door,98,4
66911,2026-01,test,digital_ads,134,3
66911,2026-02,test,door_to_door,144,6
66911,2026-02,test,digital_ads,88,2
66911,2026-03,test,door_to_door,129,5
66911,2026-03,test,digital_ads,89,2
18342,2025-10,test,door_to_door,111,5
18342,2025-10,test,digital_ads,199,5
18342,2025-11,test,door_to_door,170,9
18342,2025-11,test,digital_ads,113,2
18342,2025-12,test,door_to_door,147,6
18342,2025-12,test,digital_ads,109,2
18342,2026-01,test,door_to_door,128,6
18342,2026-01,test,digital_ads,129,3
18342,2026-02,test,door_to_door,166,7
18342,2026-02,test,digital_ads,144,3
18342,2026-03,test,door_to_door,111,5
18342,2026-03,test,digital_ads,112,2
92374,2025-10,test,door_to_door,144,6
92374,2025-10,test,digital_ads,116,3
92374,2025-11,test,door_to_door,126,5
92374,2025-11,test,digital_ads,110,2
92374,2025-12,test,door_to_door,134,6
92374,2025-12,test,digital_ads,166,4
92374,2026-01,test,door_to_door,173,7
92374,2026-01,test,digital_ads,96,2
92374,2026-02,test,door_to_door,164,7
92374,2026-02,test,digital_ads,193,5
92374,2026-03,test,door_to_door,140,6
92374,2026-03,test,digital_ads,139,3
84155,2025-10,test,door_to_door,236,11
84155,2025-10,test,digital_ads,93,2
84155,2025-11,test,door_to_door,205,10
84155,2025-11,test,digital_ads,104,2
84155,2025-12,test,door_to_door,146,6
84155,2025-12,test,digital_ads,112,2
84155,2026-01,test,door_to_door,132,6
84155,2026-01,test,digital_ads,186,5
84155,2026-02,test,door_to_door,117,5
84155,2026-02,test,digital_ads,188,4
84155,2026-03,test,door_to_door,115,5
84155,2026-03,test,digital_ads,184,4
57943,2025-10,test,door_to_door,89,4
57943,2025-10,test,digital_ads,163,4
57943,2025-11,test,door_to_door,147,6
57943,2025-11,test,digital_ads,139,3
57943,2025-12,test,door_to_door,114,4
57943,2025-12,test,digital_ads,168,4
57943,2026-01,test,door_to_door,192,9
57943,2026-01,test,digital_ads,154,3
57943,2026-02,test,door_to_door,142,6
57943,2026-02,test,digital_ads,218,5
57943,2026-03,test,door_to_door,105,4
57943,2026-03,test,digital_ads,85,2
70548,2025-10,test,door_to_door,168,7
70548,2025-10,test,digital_ads,127,3
70548,2025-11,test,door_to_door,109,5
70548,2025-11,test,digital_ads,131,3
70548,2025-12,test,door_to_door,180,8
