customer_id,churn_date,disconnect_type,reason,zip,competitor_in_zip
C0008714,2026-03-23,voluntary,service_quality,49965,1
C0006226,2026-01-15,non_payment,collections_writeoff,14200,0
C0041666,2026-01-04,non_payment,collections_writeoff,28094,1
C0048662,2026-02-05,voluntary,price_too_high,85846,1
C0049756,2026-02-01,voluntary,price_too_high,58060,1
C0021775,2026-01-29,voluntary,service_quality,24665,1
C0037535,2026-01-18,voluntary,price_too_high,71061,1
C0018168,2026-01-14,non_payment,collections_writeoff,75244,0
C0004377,2026-03-28,non_payment,collections_writeoff,49849,0
C0037392,2026-03-11,voluntary,competitor_fiber,38666,0
C0039857,2026-01-12,non_payment,collections_writeoff,97554,0
C0038589,2026-03-17,voluntary,price_too_high,48002,0
C0019080,2026-02-24,voluntary,price_too_high,72611,1
C0041287,2026-01-05,voluntary,price_too_high,92139,1
C0045159,2026-01-04,non_payment,collections_writeoff,39460,0
C0026599,2026-01-12,non_payment,collections_writeoff,70434,0
C0033228,2026-01-28,voluntary,moved_to_competitor_5g,99034,1
C0001863,2026-01-30,non_payment,collections_writeoff,97554,0
C0031650,2026-03-06,voluntary,price_too_high,94681,1
C0011614,2026-03-19,voluntary,competitor_fiber,14644,0
C0010601,2026-01-04,voluntary,competitor_fiber,14493,1
C0033823,2026-03-13,non_payment,collections_writeoff,14493,1
C0046659,2026-01-26,voluntary,competitor_fiber,39262,0
C0031636,2026-03-25,voluntary,moved_to_competitor_5g,99082,1
C0027438,2026-03-31,relocation,moved_out_of_footprint,32768,1
C0049963,2026-03-11,voluntary,competitor_fiber,58060,1
C0041112,2026-02-23,non_payment,collections_writeoff,34955,1
C0003481,2026-01-29,voluntary,moved_to_competitor_5g,44145,0
C0019279,2026-02-27,involuntary,terms_violation,71413,0
C0033898,2026-03-17,voluntary,service_quality,92139,1
C0033574,2026-02-05,voluntary,service_quality,84437,0
C0015176,2026-01-01,voluntary,service_quality,64810,1
C0020573,2026-01-21,relocation,moved_out_of_footprint,81299,0
C0046654,2026-03-31,relocation,moved_out_of_footprint,63651,0
C0017831,2026-02-24,voluntary,competitor_fiber,34725,1
C0018944,2026-02-13,non_payment,collections_writeoff,25464,1
C0001157,2026-02-05,non_payment,collections_writeoff,34200,1
C0040906,2026-01-20,involuntary,deceased,50623,0
C0046818,2026-01-28,relocation,moved_out_of_footprint,80363,1
C0036209,2026-02-13,voluntary,competitor_fiber,14644,0
C0022899,2026-01-14,non_payment,collections_writeoff,11957,0
C0043017,2026-01-12,non_payment,collections_writeoff,25464,1
C0021128,2026-02-18,voluntary,service_quality,38864,0
C0036850,2026-01-13,voluntary,competitor_fiber,89248,0
C0034287,2026-02-15,voluntary,competitor_fiber,37754,1
C0027130,2026-02-14,non_payment,collections_writeoff,21747,1
C0030433,2026-03-19,non_payment,collections_writeoff,70755,1
C0027682,2026-02-03,involuntary,deceased,82565,1
C0041520,2026-01-06,non_payment,collections_writeoff,89248,0
C0018491,2026-02-28,non_payment,collections_writeoff,58648,0
C0006978,2026-03-10,involuntary,deceased,34200,1
C0001657,2026-01-16,involuntary,deceased,58648,0
C0038634,2026-02-18,non_payment,collections_writeoff,74546,1
C0029982,2026-01-11,non_payment,collections_writeoff,96952,0
C0029888,2026-03-12,voluntary,service_quality,23394,0
C0036061,2026-02-07,non_payment,collections_writeoff,96434,0
C0047210,2026-03-22,voluntary,competitor_fiber,99577,0
C0009597,2026-03-21,voluntary,competitor_fiber,71094,0
C0019343,2026-02-16,voluntary,service_quality,66347,0
C0036030,2026-03-15,non_payment,collections_writeoff,33823,0
C0028231,2026-01-25,non_payment,collections_writeoff,48002,0
C0002118,2026-01-09,involuntary,deceased,10348,1
C0023507,2026-01-06,involuntary,fraud,26270,0
C0017341,2026-03-26,non_payment,collections_writeoff,10348,1
C0028771,2026-01-30,voluntary,moved_to_competitor_5g,97554,0
C0018665,2026-02-07,non_payment,collections_writeoff,39262,0
C0039871,2026-01-11,non_payment,collections_writeoff,81021,0
C0019515,2026-01-30,voluntary,competitor_fiber,50859,1
C0022010,2026-01-13,non_payment,collections_writeoff,64874,0
C0045622,2026-02-18,involuntary,fraud,70755,1
C0009092,2026-02-05,voluntary,moved_to_competitor_5g,70434,0
C0042026,2026-02-28,voluntary,moved_to_competitor_5g,72904,0
C0034516,2026-03-23,voluntary,service_quality,36970,0
C0034829,2026-02-16,voluntary,service_quality,84155,0
C0016063,2026-01-21,voluntary,moved_to_competitor_5g,11957,0
C0023868,2026-02-17,voluntary,price_too_high,63402,0
C0046179,2026-02-15,voluntary,price_too_high,99179,0
C0013378,2026-01-27,non_payment,collections_writeoff,36970,0
C0011152,2026-03-27,non_payment,collections_writeoff,23394,0
C0011080,2026-02-04,non_payment,collections_writeoff,96473,1
C0036266,2026-03-31,non_payment,collections_writeoff,13234,0
C0048439,2026-03-29,non_payment,collections_writeoff,11957,0
C0025240,2026-03-24,non_payment,collections_writeoff,70755,1
C0040549,2026-01-10,voluntary,service_quality,91235,0
C0039082,2026-03-19,non_payment,collections_writeoff,72904,0
C0009889,2026-03-23,voluntary,service_quality,71061,1
C0003260,2026-01-22,voluntary,moved_to_competitor_5g,72611,1
C0010773,2026-03-10,voluntary,service_quality,12914,1
C0010547,2026-02-01,relocation,moved_out_of_footprint,99179,0
C0017547,2026-01-21,non_payment,collections_writeoff,95846,0
C0022411,2026-03-01,non_payment,collections_writeoff,65704,0
C0025487,2026-02-18,voluntary,price_too_high,38666,0
C0012676,2026-02-04,voluntary,competitor_fiber,39367,1
C0024764,2026-03-23,voluntary,price_too_high,14892,1
C0029470,2026-03-30,voluntary,competitor_fiber,21437,1
C0004777,2026-03-13,involuntary,deceased,32658,0
C0005757,2026-01-29,non_payment,collections_writeoff,21551,0
C0038122,2026-03-29,non_payment,collections_writeoff,20943,1
C0035136,2026-02-11,voluntary,service_quality,53486,0
C0010445,2026-01-08,voluntary,price_too_high,98559,1
C0007528,2026-01-30,voluntary,service_quality,22457,1
C0048636,2026-01-05,voluntary,competitor_fiber,70169,0
C0024144,2026-02-10,voluntary,competitor_fiber,54807,1
C0014317,2026-02-21,involuntary,terms_violation,48002,0
C0031121,2026-02-04,voluntary,competitor_fiber,84147,1
C0042553,2026-01-09,voluntary,price_too_high,36872,1
C0028422,2026-01-28,voluntary,price_too_high,44145,0
C0012885,2026-03-14,voluntary,competitor_fiber,69363,1
C0042092,2026-02-10,involuntary,fraud,44517,0
C0002614,2026-01-28,voluntary,service_quality,14493,1
C0009278,2026-03-25,voluntary,competitor_fiber,32768,1
C0030042,2026-03-05,voluntary,competitor_fiber,38666,0
C0033120,2026-02-20,non_payment,collections_writeoff,74521,0
C0015511,2026-03-24,voluntary,price_too_high,15642,0
C0014802,2026-02-28,non_payment,collections_writeoff,69374,0
C0014931,2026-01-19,non_payment,collections_writeoff,97173,0
C0003529,2026-02-03,voluntary,competitor_fiber,98559,1
C0033115,2026-01-18,voluntary,service_quality,92391,1
C0029143,2026-02-01,voluntary,moved_to_competitor_5g,59214,1
C0000200,2026-03-13,non_payment,collections_writeoff,17727,1
C0043993,2026-03-10,voluntary,service_quality,84147,1
C0013814,2026-02-03,voluntary,competitor_fiber,99034,1
