customer_id,zip,tenure_months,product_tier,monthly_revenue,has_mobile,clv
C0000001,64745,29,Gigabit_1000Mbps,101.66,0,4602.68
C0000002,95873,7,Gigabit_1000Mbps,111.43,1,6219.2
C0000003,21437,5,Gigabit_1000Mbps,73.95,1,3911.05
C0000004,20239,28,Standard_300Mbps,76.01,0,3839.31
C0000005,64810,4,Basic_100Mbps,60.98,0,3707.35
C0000006,90971,16,Standard_300Mbps,58.25,1,3663.97
C0000007,69374,37,Basic_100Mbps,59.21,0,3486.35
C0000008,50682,31,Basic_100Mbps,37.27,0,1896.63
C0000009,24086,23,Standard_300Mbps,68.35,0,3635.12
C0000010,70434,10,Basic_100Mbps,50.46,0,2812.57
C0000011,70317,12,Basic_100Mbps,46.05,0,2590.11
C0000012,25352,8,Basic_100Mbps,51.47,0,2921.0
C0000013,44535,26,Standard_300Mbps,78.49,1,4736.39
C0000014,34725,78,Gigabit_1000Mbps,111.58,0,3842.28
C0000015,31397,66,Gigabit_1000Mbps,104.65,1,4324.35
C0000016,11957,57,Standard_300Mbps,59.44,0,2649.9
C0000017,33823,12,Performance_500Mbps,62.01,0,3619.32
C0000018,64760,22,Standard_300Mbps,68.73,1,4137.83
C0000019,64745,17,Gigabit_Pro_2000Mbps,134.21,1,7495.83
C0000020,99082,26,Basic_100Mbps,52.44,0,2908.33
C0000021,48318,21,Standard_300Mbps,77.48,0,4065.95
C0000022,58060,21,Gigabit_Pro_2000Mbps,125.23,0,5464.09
C0000023,70434,2,Basic_100Mbps,39.27,0,2227.01
C0000024,73118,8,Gigabit_Pro_2000Mbps,148.19,0,8204.33
C0000025,74546,16,Performance_500Mbps,77.2,0,4080.11
C0000026,34955,9,Standard_300Mbps,69.55,0,4156.89
C0000027,71226,74,Basic_100Mbps,47.49,0,2436.78
C0000028,26899,83,Standard_300Mbps,54.29,0,2121.21
C0000029,90971,42,Gigabit_1000Mbps,103.23,1,4767.0
C0000030,70434,110,Basic_100Mbps,55.84,0,2043.77
C0000031,77328,4,Basic_100Mbps,52.19,0,3125.64
C0000032,78299,15,Performance_500Mbps,97.09,1,5628.9
C0000033,27636,149,Basic_100Mbps,37.17,0,735.48
C0000034,14493,37,Gigabit_Pro_2000Mbps,144.54,1,7656.18
C0000035,84147,111,Performance_500Mbps,91.17,0,2252.19
