zip,month,has_fiber_competitor,our_penetration,connect_rate,competitor_price_monthly
64760,2025-10,0,0.4653,0.0356,
64760,2025-11,0,0.4653,0.0385,
64760,2025-12,0,0.4736,0.0524,
64760,2026-01,0,0.4773,0.037,
64760,2026-02,0,0.4717,0.041,
64760,2026-03,0,0.4645,0.0409,
64760,2026-04,0,0.4636,0.0512,
64760,2026-05,0,0.4768,0.0612,
64760,2026-06,0,0.4654,0.0446,
22457,2025-10,1,0.431,0.0326,60.26
22457,2025-11,1,0.4348,0.0275,47.99
22457,2025-12,1,0.4228,0.0413,52.94
22457,2026-01,1,0.426,0.0313,32.19
22457,2026-02,1,0.4186,0.0243,47.47
22457,2026-03,1,0.429,0.0402,54.22
22457,2026-04,1,0.4016,0.0477,65.65
22457,2026-05,1,0.3931,0.0249,69.07
22457,2026-06,1,0.4344,0.0272,60.3
63402,2025-10,0,0.3875,0.044,
63402,2025-11,0,0.3873,0.0544,
63402,2025-12,0,0.3901,0.0419,
63402,2026-01,0,0.3779,0.0358,
63402,2026-02,0,0.3996,0.0219,
63402,2026-03,0,0.3827,0.0533,
63402,2026-04,0,0.3897,0.0319,
63402,2026-05,0,0.3571,0.0248,
63402,2026-06,0,0.3735,0.032,
72904,2025-10,0,0.4775,0.063,
72904,2025-11,0,0.4771,0.0292,
72904,2025-12,0,0.4725,0.0533,
72904,2026-01,0,0.4863,0.0383,
72904,2026-02,0,0.4761,0.0335,
72904,2026-03,0,0.472,0.0329,
72904,2026-04,0,0.4882,0.0299,
72904,2026-05,0,0.4868,0.0459,
72904,2026-06,0,0.5022,0.0321,
76339,2025-10,0,0.5494,0.0513,
76339,2025-11,0,0.5476,0.0459,
76339,2025-12,0,0.5557,0.0399,
76339,2026-01,0,0.5507,0.0307,
76339,2026-02,0,0.5352,0.0299,
76339,2026-03,0,0.5508,0.0408,
76339,2026-04,0,0.5503,0.041,
76339,2026-05,0,0.5672,0.0425,
76339,2026-06,0,0.5487,0.0386,
11967,2025-10,0,0.4887,0.0309,
11967,2025-11,0,0.4852,0.0533,
11967,2025-12,0,0.5046,0.0408,
11967,2026-01,0,0.4941,0.0487,
11967,2026-02,0,0.4794,0.0433,
11967,2026-03,0,0.4946,0.0487,
11967,2026-04,0,0.5084,0.0368,
11967,2026-05,0,0.493,0.0412,
11967,2026-06,0,0.5268,0.0577,
70434,2025-10,0,0.5366,0.0419,
70434,2025-11,0,0.5354,0.0456,
70434,2025-12,0,0.5333,0.0522,
70434,2026-01,0,0.5288,0.0515,
70434,2026-02,0,0.5272,0.0306,
70434,2026-03,0,0.5275,0.0497,
70434,2026-04,0,0.5357,0.0316,
70434,2026-05,0,0.4977,0.0519,
70434,2026-06,0,0.5517,0.0367,
18342,2025-10,0,0.5071,0.042,
18342,2025-11,0,0.5102,0.0797,
18342,2025-12,0,0.5044,0.0247,
18342,2026-01,0,0.5008,0.0365,
18342,2026-02,0,0.5049,0.0432,
18342,2026-03,0,0.5175,0.0414,
18342,2026-04,0,0.4854,0.0309,
18342,2026-05,0,0.545,0.0553,
18342,2026-06,0,0.537,0.0379,
50682,2025-10,1,0.4106,0.0122,49.04
50682,2025-11,1,0.4094,0.0419,50.43
50682,2025-12,1,0.4047,0.0296,61.7
50682,2026-01,1,0.4014,0.0212,51.76
50682,2026-02,1,0.394,0.0249,54.57
50682,2026-03,1,0.401,0.0308,35.95
50682,2026-04,1,0.4173,0.0265,49.23
50682,2026-05,1,0.419,0.0257,60.37
50682,2026-06,1,0.3964,0.0165,25.43
